date,iso,avg_rating,total_ratings,new_avg_rating,new_ratings,name,store,code
2023-01-23,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-30,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-02-06,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-02-13,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-02-20,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-02-27,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-03-06,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-03-13,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-03-20,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-03-27,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-04-03,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-04-10,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-04-17,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-04-24,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-01,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-08,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-15,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-22,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-05-29,BR,4.6,519.0,4.6,519.0,ChatGPT,apple,ChatGPT_apple
2023-06-05,BR,4.59,576.0,4.53,57.0,ChatGPT,apple,ChatGPT_apple
2023-06-12,BR,4.59,653.0,4.57,77.0,ChatGPT,apple,ChatGPT_apple
2023-06-19,BR,4.6,707.0,4.72,54.0,ChatGPT,apple,ChatGPT_apple
2023-06-26,BR,4.58,730.0,4.22,23.0,ChatGPT,apple,ChatGPT_apple
2023-07-03,BR,4.57,802.0,4.47,72.0,ChatGPT,apple,ChatGPT_apple
2023-07-10,BR,4.55,836.0,4.06,34.0,ChatGPT,apple,ChatGPT_apple
2023-07-17,BR,4.56,877.0,4.71,41.0,ChatGPT,apple,ChatGPT_apple
2023-07-24,BR,4.56,908.0,4.45,31.0,ChatGPT,apple,ChatGPT_apple
2023-07-31,BR,4.53,934.0,3.5,26.0,ChatGPT,apple,ChatGPT_apple
2023-08-07,BR,4.52,959.0,4.4,25.0,ChatGPT,apple,ChatGPT_apple
2023-08-14,BR,4.53,995.0,4.69,36.0,ChatGPT,apple,ChatGPT_apple
2023-08-21,BR,4.53,1019.0,4.33,24.0,ChatGPT,apple,ChatGPT_apple
2023-08-28,BR,4.52,1047.0,4.17,28.0,ChatGPT,apple,ChatGPT_apple
2023-09-04,BR,4.75,2437.0,4.92,1390.0,ChatGPT,apple,ChatGPT_apple
2023-09-11,BR,4.9,13500.0,4.94,11063.0,ChatGPT,apple,ChatGPT_apple
2023-09-18,BR,4.92,25012.0,4.95,11512.0,ChatGPT,apple,ChatGPT_apple
2023-09-25,BR,4.93,35965.0,4.94,10953.0,ChatGPT,apple,ChatGPT_apple
2023-10-02,BR,4.93,45817.0,4.94,9852.0,ChatGPT,apple,ChatGPT_apple
2023-10-09,BR,4.93,53556.0,4.94,7739.0,ChatGPT,apple,ChatGPT_apple
2023-10-16,BR,4.93,62903.0,4.94,9347.0,ChatGPT,apple,ChatGPT_apple
2023-10-23,BR,4.94,72436.0,4.94,9533.0,ChatGPT,apple,ChatGPT_apple
2023-10-30,BR,4.93,80270.0,4.93,7834.0,ChatGPT,apple,ChatGPT_apple
2023-11-06,BR,4.93,88698.0,4.93,8428.0,ChatGPT,apple,ChatGPT_apple
2023-11-13,BR,4.93,96187.0,4.92,7489.0,ChatGPT,apple,ChatGPT_apple
2023-11-20,BR,4.93,103349.0,4.93,7162.0,ChatGPT,apple,ChatGPT_apple
2023-11-27,BR,4.93,110631.0,4.92,7282.0,ChatGPT,apple,ChatGPT_apple
2023-12-04,BR,4.93,117161.0,4.91,6530.0,ChatGPT,apple,ChatGPT_apple
2023-12-11,BR,4.93,122590.0,4.9,5429.0,ChatGPT,apple,ChatGPT_apple
2023-12-18,BR,4.93,127326.0,4.91,4736.0,ChatGPT,apple,ChatGPT_apple
2023-12-25,BR,4.93,131618.0,4.92,4292.0,ChatGPT,apple,ChatGPT_apple
2024-01-01,BR,4.93,136456.0,4.9,4838.0,ChatGPT,apple,ChatGPT_apple
2024-01-08,BR,4.93,141152.0,4.92,4696.0,ChatGPT,apple,ChatGPT_apple
2024-01-15,BR,4.93,146086.0,4.93,4934.0,ChatGPT,apple,ChatGPT_apple
2024-01-22,BR,4.93,151395.0,4.93,5309.0,ChatGPT,apple,ChatGPT_apple
2024-01-29,BR,4.93,156753.0,4.93,5358.0,ChatGPT,apple,ChatGPT_apple
2024-02-05,BR,4.93,161692.0,4.93,4939.0,ChatGPT,apple,ChatGPT_apple
2024-02-12,BR,4.93,164729.0,4.92,3037.0,ChatGPT,apple,ChatGPT_apple
2024-02-19,BR,4.93,165970.0,4.92,1241.0,ChatGPT,apple,ChatGPT_apple
2024-02-26,BR,4.93,167311.0,4.92,1341.0,ChatGPT,apple,ChatGPT_apple
2024-03-04,BR,4.93,168568.0,4.92,1257.0,ChatGPT,apple,ChatGPT_apple
2024-03-11,BR,4.93,169590.0,4.92,1022.0,ChatGPT,apple,ChatGPT_apple
2024-03-18,BR,4.93,170712.0,4.9,1122.0,ChatGPT,apple,ChatGPT_apple
2024-03-25,BR,4.93,171695.0,4.91,983.0,ChatGPT,apple,ChatGPT_apple
2024-04-01,BR,4.93,172856.0,4.9,1161.0,ChatGPT,apple,ChatGPT_apple
2024-04-08,BR,4.93,173961.0,4.88,1105.0,ChatGPT,apple,ChatGPT_apple
2024-04-15,BR,4.93,175062.0,4.89,1101.0,ChatGPT,apple,ChatGPT_apple
2024-04-22,BR,4.93,176198.0,4.88,1136.0,ChatGPT,apple,ChatGPT_apple
2024-04-29,BR,4.93,177210.0,4.88,1012.0,ChatGPT,apple,ChatGPT_apple
2024-05-06,BR,4.93,178229.0,4.89,1019.0,ChatGPT,apple,ChatGPT_apple
2024-05-13,BR,4.93,180300.0,4.9,2071.0,ChatGPT,apple,ChatGPT_apple
2024-05-20,BR,4.93,183192.0,4.92,2892.0,ChatGPT,apple,ChatGPT_apple
2024-05-27,BR,4.93,185654.0,4.92,2462.0,ChatGPT,apple,ChatGPT_apple
2024-06-03,BR,4.93,188546.0,4.92,2892.0,ChatGPT,apple,ChatGPT_apple
2024-06-10,BR,4.93,191407.0,4.94,2861.0,ChatGPT,apple,ChatGPT_apple
2024-06-17,BR,4.93,194681.0,4.92,3274.0,ChatGPT,apple,ChatGPT_apple
2024-06-24,BR,4.93,197616.0,4.92,2935.0,ChatGPT,apple,ChatGPT_apple
2024-07-01,BR,4.93,200007.0,4.94,2391.0,ChatGPT,apple,ChatGPT_apple
2024-07-08,BR,4.93,202299.0,4.94,2292.0,ChatGPT,apple,ChatGPT_apple
2024-07-15,BR,4.93,204764.0,4.93,2465.0,ChatGPT,apple,ChatGPT_apple
2024-07-22,BR,4.93,207199.0,4.95,2435.0,ChatGPT,apple,ChatGPT_apple
2024-07-29,BR,4.93,209772.0,4.94,2573.0,ChatGPT,apple,ChatGPT_apple
2024-08-05,BR,4.93,212545.0,4.94,2773.0,ChatGPT,apple,ChatGPT_apple
2024-08-12,BR,4.93,215995.0,4.95,3450.0,ChatGPT,apple,ChatGPT_apple
2024-08-19,BR,4.93,220068.0,4.93,4073.0,ChatGPT,apple,ChatGPT_apple
2024-08-26,BR,4.93,224659.0,4.94,4591.0,ChatGPT,apple,ChatGPT_apple
2024-09-02,BR,4.93,229327.0,4.93,4668.0,ChatGPT,apple,ChatGPT_apple
2024-09-09,BR,4.93,234302.0,4.94,4975.0,ChatGPT,apple,ChatGPT_apple
2024-09-16,BR,4.93,240117.0,4.93,5815.0,ChatGPT,apple,ChatGPT_apple
2024-09-23,BR,4.93,246115.0,4.93,5998.0,ChatGPT,apple,ChatGPT_apple
2024-09-30,BR,4.93,251744.0,4.94,5629.0,ChatGPT,apple,ChatGPT_apple
2024-10-07,BR,4.93,256921.0,4.94,5177.0,ChatGPT,apple,ChatGPT_apple
2024-10-14,BR,4.93,262286.0,4.94,5365.0,ChatGPT,apple,ChatGPT_apple
2024-10-21,BR,4.93,268215.0,4.95,5929.0,ChatGPT,apple,ChatGPT_apple
2024-10-28,BR,4.93,274190.0,4.94,5975.0,ChatGPT,apple,ChatGPT_apple
2024-11-04,BR,4.93,279993.0,4.92,5803.0,ChatGPT,apple,ChatGPT_apple
2024-11-11,BR,4.93,285093.0,4.94,5100.0,ChatGPT,apple,ChatGPT_apple
2024-11-18,BR,4.93,290786.0,4.94,5693.0,ChatGPT,apple,ChatGPT_apple
2024-11-25,BR,4.93,296150.0,4.94,5364.0,ChatGPT,apple,ChatGPT_apple
2024-12-02,BR,4.93,301298.0,4.93,5148.0,ChatGPT,apple,ChatGPT_apple
2024-12-09,BR,4.93,305917.0,4.92,4619.0,ChatGPT,apple,ChatGPT_apple
2024-12-16,BR,4.93,310245.0,4.95,4328.0,ChatGPT,apple,ChatGPT_apple
2024-12-23,BR,4.93,310066.0,0.0,-179.0,ChatGPT,apple,ChatGPT_apple
2024-12-30,BR,4.93,317923.0,4.93,7857.0,ChatGPT,apple,ChatGPT_apple
2025-01-06,BR,4.93,322687.0,4.94,4764.0,ChatGPT,apple,ChatGPT_apple
2025-01-13,BR,4.93,327859.0,4.94,5172.0,ChatGPT,apple,ChatGPT_apple
2025-01-20,BR,4.93,333105.0,4.94,5246.0,ChatGPT,apple,ChatGPT_apple
2025-01-27,BR,4.93,338905.0,4.9,5800.0,ChatGPT,apple,ChatGPT_apple
2025-02-03,BR,4.93,345214.0,4.93,6309.0,ChatGPT,apple,ChatGPT_apple
2025-02-10,BR,4.93,351590.0,4.93,6376.0,ChatGPT,apple,ChatGPT_apple
2025-02-17,BR,4.93,358394.0,4.93,6804.0,ChatGPT,apple,ChatGPT_apple
2025-02-24,BR,4.93,364785.0,4.93,6391.0,ChatGPT,apple,ChatGPT_apple
2025-03-03,BR,4.93,370187.0,4.93,5402.0,ChatGPT,apple,ChatGPT_apple
2025-03-10,BR,4.93,377912.0,4.93,7725.0,ChatGPT,apple,ChatGPT_apple
2025-03-17,BR,4.93,389110.0,4.92,11198.0,ChatGPT,apple,ChatGPT_apple
2025-03-24,BR,4.93,400479.0,4.91,11369.0,ChatGPT,apple,ChatGPT_apple
2025-03-31,BR,4.92,445432.0,4.86,44953.0,ChatGPT,apple,ChatGPT_apple
2025-04-07,BR,4.92,470056.0,4.92,24624.0,ChatGPT,apple,ChatGPT_apple
2025-04-14,BR,4.92,496068.0,4.93,26012.0,ChatGPT,apple,ChatGPT_apple
2025-04-21,BR,4.92,521464.0,4.93,25396.0,ChatGPT,apple,ChatGPT_apple
2025-04-28,BR,4.92,544371.0,4.92,22907.0,ChatGPT,apple,ChatGPT_apple
2025-05-05,BR,4.92,564135.0,4.93,19764.0,ChatGPT,apple,ChatGPT_apple
